image_uri,prompt,diagram,neural_network
images_gen\octava\class_diagram\5_3_O.jpg,Сгенерируй диаграмму классов для информационной системы Онлайн-магазин одежды,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\5_4_O.jpg,Сгенерируй диаграмму классов для информационной системы Онлайн-магазин одежды,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\5_5_O.jpg,Сгенерируй диаграмму классов для информационной системы Онлайн-магазин одежды,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\6_1_O.jpg,Сгенерируй диаграмму классов для информационной системы Ветеринарная клиника,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\6_2_O.jpg,Сгенерируй диаграмму классов для информационной системы Ветеринарная клиника,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\6_3_O.jpg,Сгенерируй диаграмму классов для информационной системы Ветеринарная клиника,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\6_4_O.jpg,Сгенерируй диаграмму классов для информационной системы Ветеринарная клиника,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\6_5_O.jpg,Сгенерируй диаграмму классов для информационной системы Ветеринарная клиника,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\7_1_O.jpg,Сгенерируй диаграмму классов для информационной системы Онлайн-магазин одежды. 1. Класс - Продукт. Атрибуты: название стоимость размер цвет описание 2. Класс - Заказ. Атрибуты: дата заказа статус общая стоимость 3. Класс - Пользователь. Атрибуты: имя адрес доставки контактная информация 4. Класс - Корзина. Атрибуты: список продуктов сумма заказа 5. Класс - Оплата. Атрибуты: способ оплаты информация о платеже 6. Класс - Доставка. Атрибуты: адрес доставки статус доставки 7. Класс - Категория. Атрибуты: имя категории описание 8. Класс - Производитель. Атрибуты: название страна специализация 9. Класс - Отзывы. Атрибуты: оценка комментарий дата 10. Класс - Акции и скидки. Атрибуты: описание акции сроки услови,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\7_2_O.jpg,Сгенерируй диаграмму классов для информационной системы Онлайн-магазин одежды. 1. Класс - Продукт. Атрибуты: название стоимость размер цвет описание 2. Класс - Заказ. Атрибуты: дата заказа статус общая стоимость 3. Класс - Пользователь. Атрибуты: имя адрес доставки контактная информация 4. Класс - Корзина. Атрибуты: список продуктов сумма заказа 5. Класс - Оплата. Атрибуты: способ оплаты информация о платеже 6. Класс - Доставка. Атрибуты: адрес доставки статус доставки 7. Класс - Категория. Атрибуты: имя категории описание 8. Класс - Производитель. Атрибуты: название страна специализация 9. Класс - Отзывы. Атрибуты: оценка комментарий дата 10. Класс - Акции и скидки. Атрибуты: описание акции сроки услови,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\7_3_O.jpg,Сгенерируй диаграмму классов для информационной системы Онлайн-магазин одежды. 1. Класс - Продукт. Атрибуты: название стоимость размер цвет описание 2. Класс - Заказ. Атрибуты: дата заказа статус общая стоимость 3. Класс - Пользователь. Атрибуты: имя адрес доставки контактная информация 4. Класс - Корзина. Атрибуты: список продуктов сумма заказа 5. Класс - Оплата. Атрибуты: способ оплаты информация о платеже 6. Класс - Доставка. Атрибуты: адрес доставки статус доставки 7. Класс - Категория. Атрибуты: имя категории описание 8. Класс - Производитель. Атрибуты: название страна специализация 9. Класс - Отзывы. Атрибуты: оценка комментарий дата 10. Класс - Акции и скидки. Атрибуты: описание акции сроки услови,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\7_4_O.jpg,Сгенерируй диаграмму классов для информационной системы Онлайн-магазин одежды. 1. Класс - Продукт. Атрибуты: название стоимость размер цвет описание 2. Класс - Заказ. Атрибуты: дата заказа статус общая стоимость 3. Класс - Пользователь. Атрибуты: имя адрес доставки контактная информация 4. Класс - Корзина. Атрибуты: список продуктов сумма заказа 5. Класс - Оплата. Атрибуты: способ оплаты информация о платеже 6. Класс - Доставка. Атрибуты: адрес доставки статус доставки 7. Класс - Категория. Атрибуты: имя категории описание 8. Класс - Производитель. Атрибуты: название страна специализация 9. Класс - Отзывы. Атрибуты: оценка комментарий дата 10. Класс - Акции и скидки. Атрибуты: описание акции сроки услови,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\7_5_O.jpg,Сгенерируй диаграмму классов для информационной системы Онлайн-магазин одежды. 1. Класс - Продукт. Атрибуты: название стоимость размер цвет описание 2. Класс - Заказ. Атрибуты: дата заказа статус общая стоимость 3. Класс - Пользователь. Атрибуты: имя адрес доставки контактная информация 4. Класс - Корзина. Атрибуты: список продуктов сумма заказа 5. Класс - Оплата. Атрибуты: способ оплаты информация о платеже 6. Класс - Доставка. Атрибуты: адрес доставки статус доставки 7. Класс - Категория. Атрибуты: имя категории описание 8. Класс - Производитель. Атрибуты: название страна специализация 9. Класс - Отзывы. Атрибуты: оценка комментарий дата 10. Класс - Акции и скидки. Атрибуты: описание акции сроки услови,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\8_1_O.jpg,Сгенерируй диаграмму классов для информационной системы "Ветеринарная клиника". 1. Класс - Животное. Атрибуты: кличка вид возраст владелец. 2. Класс - Врач. Атрибуты: имя специализация график работы 3. Класс - Пациент. Атрибуты: животное дата приема диагноз  4. Класс - Специализация. Атрибуты: название специализации описание 5. Класс - Процедуры и услуги. Атрибуты: название описание стоимость.  6. Класс - Запись. Атрибуты: пациент врач дата вид процедуры. 7. Класс - Лечение. Атрибуты: название лечения рецепт дозировка. 8. Класс - Отзывы и рейтинг. Атрибуты: оценка отзыв дата.,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\8_2_O.jpg,Сгенерируй диаграмму классов для информационной системы "Ветеринарная клиника". 1. Класс - Животное. Атрибуты: кличка вид возраст владелец. 2. Класс - Врач. Атрибуты: имя специализация график работы 3. Класс - Пациент. Атрибуты: животное дата приема диагноз  4. Класс - Специализация. Атрибуты: название специализации описание 5. Класс - Процедуры и услуги. Атрибуты: название описание стоимость.  6. Класс - Запись. Атрибуты: пациент врач дата вид процедуры. 7. Класс - Лечение. Атрибуты: название лечения рецепт дозировка. 8. Класс - Отзывы и рейтинг. Атрибуты: оценка отзыв дата.,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\8_3_O.jpg,Сгенерируй диаграмму классов для информационной системы "Ветеринарная клиника". 1. Класс - Животное. Атрибуты: кличка вид возраст владелец. 2. Класс - Врач. Атрибуты: имя специализация график работы 3. Класс - Пациент. Атрибуты: животное дата приема диагноз  4. Класс - Специализация. Атрибуты: название специализации описание 5. Класс - Процедуры и услуги. Атрибуты: название описание стоимость.  6. Класс - Запись. Атрибуты: пациент врач дата вид процедуры. 7. Класс - Лечение. Атрибуты: название лечения рецепт дозировка. 8. Класс - Отзывы и рейтинг. Атрибуты: оценка отзыв дата.,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\8_4_O.jpg,Сгенерируй диаграмму классов для информационной системы "Ветеринарная клиника". 1. Класс - Животное. Атрибуты: кличка вид возраст владелец. 2. Класс - Врач. Атрибуты: имя специализация график работы 3. Класс - Пациент. Атрибуты: животное дата приема диагноз  4. Класс - Специализация. Атрибуты: название специализации описание 5. Класс - Процедуры и услуги. Атрибуты: название описание стоимость.  6. Класс - Запись. Атрибуты: пациент врач дата вид процедуры. 7. Класс - Лечение. Атрибуты: название лечения рецепт дозировка. 8. Класс - Отзывы и рейтинг. Атрибуты: оценка отзыв дата.,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\8_5_O.jpg,Сгенерируй диаграмму классов для информационной системы "Ветеринарная клиника". 1. Класс - Животное. Атрибуты: кличка вид возраст владелец. 2. Класс - Врач. Атрибуты: имя специализация график работы 3. Класс - Пациент. Атрибуты: животное дата приема диагноз  4. Класс - Специализация. Атрибуты: название специализации описание 5. Класс - Процедуры и услуги. Атрибуты: название описание стоимость.  6. Класс - Запись. Атрибуты: пациент врач дата вид процедуры. 7. Класс - Лечение. Атрибуты: название лечения рецепт дозировка. 8. Класс - Отзывы и рейтинг. Атрибуты: оценка отзыв дата.,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\9_1_O.jpg,Создайте диаграмму классов для информационной системы "Онлайн-магазин одежды". Включите основные классы: продукты заказы пользователи. Покажите связь между классами заказов и пользователями учитывая что каждый пользователь может иметь несколько заказов. Укажите основные атрибуты каждого класса такие как название товара стоимость дата заказа и другие соответствующие атрибуты. Дополнительно укажите что каждый заказ может содержать один или несколько продуктов.,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\9_2_O.jpg,Создайте диаграмму классов для информационной системы "Онлайн-магазин одежды". Включите основные классы: продукты заказы пользователи. Покажите связь между классами заказов и пользователями учитывая что каждый пользователь может иметь несколько заказов. Укажите основные атрибуты каждого класса такие как название товара стоимость дата заказа и другие соответствующие атрибуты. Дополнительно укажите что каждый заказ может содержать один или несколько продуктов.,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\9_3_O.jpg,Создайте диаграмму классов для информационной системы "Онлайн-магазин одежды". Включите основные классы: продукты заказы пользователи. Покажите связь между классами заказов и пользователями учитывая что каждый пользователь может иметь несколько заказов. Укажите основные атрибуты каждого класса такие как название товара стоимость дата заказа и другие соответствующие атрибуты. Дополнительно укажите что каждый заказ может содержать один или несколько продуктов.,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\9_4_O.jpg,Создайте диаграмму классов для информационной системы "Онлайн-магазин одежды". Включите основные классы: продукты заказы пользователи. Покажите связь между классами заказов и пользователями учитывая что каждый пользователь может иметь несколько заказов. Укажите основные атрибуты каждого класса такие как название товара стоимость дата заказа и другие соответствующие атрибуты. Дополнительно укажите что каждый заказ может содержать один или несколько продуктов.,Диаграмма классов,OCTAVE
images_gen\octava\class_diagram\9_5_O.jpg,Создайте диаграмму классов для информационной системы "Онлайн-магазин одежды". Включите основные классы: продукты заказы пользователи. Покажите связь между классами заказов и пользователями учитывая что каждый пользователь может иметь несколько заказов. Укажите основные атрибуты каждого класса такие как название товара стоимость дата заказа и другие соответствующие атрибуты. Дополнительно укажите что каждый заказ может содержать один или несколько продуктов.,Диаграмма классов,OCTAVE

